,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
5,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,34,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
6,SAVED,Benjamin Hall,Harper,The Fox News journalist gives his account of the injuries he sustained from a Russian attack while covering the war in Ukraine.,3,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
7,THE LIGHT WE CARRY,Michelle Obama,Crown,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,20,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
8,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,The Florida governor gives his account of his achievements and shares his opinions about the political left.,5,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
9,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,43,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
10,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,73,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
11,THE UNDERTOW,Jeff Sharlet,Norton,A look at the religious dimensions of American politics.,1,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
12,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",The winner of the Nobel in economic science discusses how we make choices.,24,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
13,PARIS,Paris Hilton,Dey Street,The entrepreneur and pop culture icon shares her personal and professional rise in the age of influencers.,3,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
14,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",72,2023-04-16,NONFICTION,Combined Print & E-Book Nonfiction
0,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,1,2023-04-16,NONFICTION,Hardcover Nonfiction
1,"POVERTY, BY AMERICA",Matthew Desmond,Crown,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,2,2023-04-16,NONFICTION,Hardcover Nonfiction
2,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,34,2023-04-16,NONFICTION,Hardcover Nonfiction
3,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",12,2023-04-16,NONFICTION,Hardcover Nonfiction
4,SAVED,Benjamin Hall,Harper,The Fox News journalist gives his account of the injuries he sustained from a Russian attack while covering the war in Ukraine.,3,2023-04-16,NONFICTION,Hardcover Nonfiction
5,THE LIGHT WE CARRY,Michelle Obama,Crown,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,20,2023-04-16,NONFICTION,Hardcover Nonfiction
6,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,The Florida governor gives his account of his achievements and shares his opinions about the political left.,5,2023-04-16,NONFICTION,Hardcover Nonfiction
7,PARIS,Paris Hilton,Dey Street,The entrepreneur and pop culture icon shares her personal and professional rise in the age of influencers.,3,2023-04-16,NONFICTION,Hardcover Nonfiction
8,HUMANLY POSSIBLE,Sarah Bakewell,Penguin Press,The author of “At the Existentialist Café” explores 700 years of humanism.,1,2023-04-16,NONFICTION,Hardcover Nonfiction
9,GREENLIGHTS,Matthew McConaughey,Crown,The Academy Award-winning actor shares snippets from the diaries he kept over 35 years.,87,2023-04-16,NONFICTION,Hardcover Nonfiction
10,IT'S OK TO BE ANGRY ABOUT CAPITALISM,Bernie Sanders with John Nichols,Crown,The Vermont senator depicts the impact capitalism has on key areas of our lives and ways to address this.,6,2023-04-16,NONFICTION,Hardcover Nonfiction
11,ALL MY KNOTTED-UP LIFE,Beth Moore,Tyndale Momentum,The founder of Living Proof Ministries details key moments from her life and her 2018 break with the Southern Baptist movement.,6,2023-04-16,NONFICTION,Hardcover Nonfiction
12,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,49,2023-04-16,NONFICTION,Hardcover Nonfiction
13,RINGMASTER,Abraham Riesman,Atria,A biography of the former World Wrestling Entertainment chairman and chief executive Vince McMahon.,1,2023-04-16,NONFICTION,Hardcover Nonfiction
14,THE MYTH OF NORMAL,Gabor Maté with Daniel Maté,Avery,The potential ways in which trauma and stress from modern-day living can affect our physical health.,19,2023-04-16,NONFICTION,Hardcover Nonfiction
0,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",232,2023-04-16,NONFICTION,Paperback Nonfiction
1,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",1,2023-04-16,NONFICTION,Paperback Nonfiction
2,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,69,2023-04-16,NONFICTION,Paperback Nonfiction
3,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,155,2023-04-16,NONFICTION,Paperback Nonfiction
4,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,356,2023-04-16,NONFICTION,Paperback Nonfiction
5,KILLERS OF THE FLOWER MOON,David Grann,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",109,2023-04-16,NONFICTION,Paperback Nonfiction
6,DOPAMINE NATION,Anna Lembke,Dutton,The medical director of Stanford Addiction Medicine explores the neuroscience and behaviors that inform the relationship between pleasure and pain.,9,2023-04-16,NONFICTION,Paperback Nonfiction
7,THE GLASS CASTLE,Jeannette Walls,Scribner,The author recalls how she and her siblings were constantly moved from one bleak place to another.,462,2023-04-16,NONFICTION,Paperback Nonfiction
8,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,79,2023-04-16,NONFICTION,Paperback Nonfiction
9,JUST MERCY,Bryan Stevenson,One World,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,303,2023-04-16,NONFICTION,Paperback Nonfiction
10,GRIT,Angela Duckworth,Scribner,The MacArthur Fellow argues that passion and perseverance are more important than innate talent in creating success.,141,2023-04-16,NONFICTION,Paperback Nonfiction
11,CASTE,Isabel Wilkerson,Random House,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,7,2023-04-16,NONFICTION,Paperback Nonfiction
12,THE ANTHROPOCENE REVIEWED,John Green,Dutton,A collection of personal essays that review different facets of the human-centered planet.,2,2023-04-16,NONFICTION,Paperback Nonfiction
13,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,2,2023-04-16,NONFICTION,Paperback Nonfiction
14,THE NINETIES,Chuck Klosterman,Penguin,An overview of the cultural and historical impact of the 1990s.,9,2023-04-16,NONFICTION,Paperback Nonfiction
0,ATOMIC HABITS,James Clear,Avery,,175,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
1,THE LOVE STORIES OF THE BIBLE SPEAK,Shannon Bream,Broadside,,1,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
2,SWEET ENOUGH,Alison Roman,Clarkson Potter,,1,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
3,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,,11,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
4,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,,174,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
5,EAT TO BEAT YOUR DIET,William W. Li,Balance,,2,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
6,LIFE WORTH LIVING,"Miroslav Volf, Matthew Croasmun and Ryan McAnnally-Linz",The Open Field,,1,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
7,YOUNG FOREVER,Mark Hyman,"Little, Brown Spark",,6,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
8,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,,292,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
9,RECIPETIN EATS DINNER,Nagi Maehashi,Countryman,,1,2023-04-16,NONFICTION,"Advice, How-To & Miscellaneous"
0,WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school.,390,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
1,REFUGEE,Alan Gratz,Scholastic,Three children in three different conflicts look for safe haven.,214,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
2,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,147,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
3,TWO DEGREES,Alan Gratz,Scholastic,Four kids simultaneously experience three natural catastrophes due to climate change.,26,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
4,ODDER,Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",28,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
5,FREEWATER,Amina Luqman-Dawson,"Little, Brown",Homer and Ada run away from Southerland Plantation and discover a community created by formerly enslaved people.,2,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
6,ICEBERG,Jennifer A. Nielsen,Scholastic,Hazel Rothbury stows away on the Titanic.,4,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
7,THE SWIFTS: A DICTIONARY OF SCOUNDRELS,Beth Lincoln. Illustrated by Claire Powell,Dutton,Shenanigan Swift investigates murders during a family reunion treasure hunt.,7,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
8,ON AIR WITH ZOE WASHINGTON,Janae Marks,Katherine Tegen,"After clearing her father's name for a crime he didn't commit, Zoe now wants to help him open his own restaurant.",4,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
9,FINALLY SEEN,Kelly Yang,Simon & Schuster,A young girl moves from China to America to be reunited with her family after five years apart.,5,2023-04-16,CHILDREN,Children’s Middle Grade Hardcover
0,HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,The Easter Bunny avoids traps in order to deliver eggs and candy.,23,2023-04-16,CHILDREN,Children’s Picture Books
1,PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,HarperFestival,A certain rabbit needs Pete's help.,41,2023-04-16,CHILDREN,Children’s Picture Books
2,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Jory John. Illustrated by Pete Oswald,HarperCollins,Good Egg and his pals escape their carton!,20,2023-04-16,CHILDREN,Children’s Picture Books
3,WE DON'T LOSE OUR CLASS GOLDFISH,Ryan T. Higgins,Disney Hyperion,Penelope Rex takes her turn watching the class pet for the weekend.,1,2023-04-16,CHILDREN,Children’s Picture Books
4,HAPPY EASTER FROM THE CRAYONS,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,The crayons decorate one giant egg together.,2,2023-04-16,CHILDREN,Children’s Picture Books
5,LITTLE DAYMOND LEARNS TO EARN,Daymond John. Illustrated by Nicole Miles,Random House,Daymond and his friends start a T-shirt business.,2,2023-04-16,CHILDREN,Children’s Picture Books
6,DRAGONS LOVE TACOS,Adam Rubin. Illustrated by Daniel Salmieri,Dial,What to serve your dragon-guests.,392,2023-04-16,CHILDREN,Children’s Picture Books
7,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,A celebration of future possibilities.,346,2023-04-16,CHILDREN,Children’s Picture Books
8,THE DAY THE CRAYONS QUIT,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,Problems arise when Duncan’s crayons revolt.,354,2023-04-16,CHILDREN,Children’s Picture Books
9,THE BOOK WITH NO PICTURES,B.J. Novak,Dial,Silly songs and sound effects.,180,2023-04-16,CHILDREN,Children’s Picture Books
0,DIARY OF A WIMPY KID,tten and illustrated by Jeff Kinney,Amulet,The travails and challenges of adolescence.,733,2023-04-16,CHILDREN,Children’s Series
1,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,79,2023-04-16,CHILDREN,Children’s Series
2,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV.",269,2023-04-16,CHILDREN,Children’s Series
3,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,732,2023-04-16,CHILDREN,Children’s Series
4,SHADOW AND BONE TRILOGY,Leigh Bardugo,Square Fish,"The basis of the Netflix series; previously titled ""The Grisha Trilogy.""",39,2023-04-16,CHILDREN,Children’s Series
5,CAPTAIN UNDERPANTS,tten and illustrated by Dav Pilkey,Scholastic,Boys and their principal fight evil.,309,2023-04-16,CHILDREN,Children’s Series
6,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,667,2023-04-16,CHILDREN,Children’s Series
7,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,31,2023-04-16,CHILDREN,Children’s Series
8,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,"A beach house, summer love and enduring friendships.",50,2023-04-16,CHILDREN,Children’s Series
9,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,Biographies unlock legendary lives.,138,2023-04-16,CHILDREN,Children’s Series
0,FIVE SURVIVE,Holly Jackson,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,18,2023-04-16,CHILDREN,Young Adult Hardcover
1,A DOOR IN THE DARK,Scott Reintgen,Margaret K. McElderry,"After a portal spell goes awry, five teenage wizards are stranded in the wilderness.",1,2023-04-16,CHILDREN,Young Adult Hardcover
2,NICK AND CHARLIE,Alice Oseman,Scholastic,Nick and Charlie question whether their love is strong enough to survive being apart when Nick leaves for university.,13,2023-04-16,CHILDREN,Young Adult Hardcover
3,LIGHTLARK,Alex Aster,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,32,2023-04-16,CHILDREN,Young Adult Hardcover
4,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,"In this prequel to ""They Both Die at the End,"" Orion and Valentino attend the premiere of Death-Cast in Times Square.",26,2023-04-16,CHILDREN,Young Adult Hardcover
5,STARS AND SMOKE,Marie Lu,Roaring Brook,A secret agent teams up with a pop star to bring down a powerful crime boss.,1,2023-04-16,CHILDREN,Young Adult Hardcover
6,THE STOLEN HEIR,Holly Black,"Little, Brown",Runaway Queen Suren and Prince Oak embark on a deadly and dangerous mission to the north.,13,2023-04-16,CHILDREN,Young Adult Hardcover
